,descricao_do_imovel,bairro,cidade,estado,link_da_imagem,preco,suites,banheiros,m2
25,Apartamento no Admirá Arrka Concept com 4 Suítes em Balneário Camboriú,Rua: 1201, Centro , Balneário Camboriú. SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/630ffb936b92084ba0fc63e2_3.jpg,2970000.0,4,3,138
26,Apartamento no Falcon Tower a 500m do mar em Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b4f05db25b1b5ca2a21747_Untitled%20design%20(38).png,2781000.0,2,2,133
27,Apartamento com 4 dormitórios no Centro de Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b5108cbc041a8f3fcd42e3_Untitled%20design%20(65).png,1990000.0,2,4,146
28,"Apartamento no Condomínio Grand Place Tower, Balneário Camboriú",Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b5100fa152b09d716a2e96_Untitled%20design%20(64).png,4943000.0,4,5,348
29,Apartamento de 157m² no Bairro Pioneiros em Balneário Camboriú,Pioneiros, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b5091e556c4c66bc5fe587_Untitled%20design%20(45).png,2750000.0,4,5,135
30,Apartamento Novo com 4 Suítes no Centro de Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50a399ef02bcfdbeb0e6a_Untitled%20design%20(48).png,3299000.0,4,4,131
31,Apartamento Frente Mar - Meia Praia em Itapema,Rua: 317. B, 200 –Meia Praia,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/6385122341a83660deac8a5e_17.jpg,6000000.0,4,3,200
32,Apartamento com 4 suítes  no Centro de Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b510dfdc3eca48c220c07f_Untitled%20design%20(66).png,4700000.0,4,5,177
33,Apartamento moderno com 3 suítes em B. Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b508d84c3ed000bd0c2b88_Untitled%20design%20(44).png,2030000.0,3,4,138
34,Apartamento Exclusivo com 4 Dormitórios no Centro de Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b4f12d4c3ed041340b92cb_Untitled%20design%20(40).png,2370332.0,2,4,140
35,"Cobertura Duplex, no condomínio Brava Center Residence, Praia Brava",Praia Brava, Itajaí , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b515b336e470526a7830b6_Untitled%20design%20(78).png,10300000.0,4,4,369
36,Apartamento Yachthouse by Pininfarina com 4 suítes no Centro Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b0b5f00d2876b122724b99_1.jpg,8700000.0,4,4,142
37,Apartamento sofisticado na Praia Brava com 4 suítes,Praia Brava, Itajaí , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b4f178c9f9c76767a70a81_Untitled%20design%20(41).png,7400000.0,4,5,207
38,Apartamento no Empreendimento Tesla Residencial em Balneário Camboriú,Rua 1201, Centro de Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/630fd13b3b344323e07b4254_3.jpg,2800000.0,2,3,145
39,Casa com configuração comercial em Balneário Camboriú,Rua 600, 501 entre 3a e 4a avenida. Balneário Camboriú/SC,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/633327714872542138e917c0_16.jpg,1980000.0,300,3,147
40,"Apartamento no Edifício Villa Castelli, no Centro de B. Camboriú",Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50b9b556c4c67985ff1aa_Untitled%20design%20(50).png,2099660.0,4,5,150
41,Apartamento de Alto Padrão no Meridian Tower em Balneário Camboriú,Rua 1041 e 1061, Balneário Camboriú. SC,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/6312533a66378b32028c6527_15.jpg,4898737.319166666,4,3,150
42,Apartamento à venda na Barra Norte em Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50c1bafa4af019f267acf_Untitled%20design%20(52).png,4169074.0,4,4,190
43,"Apartamento no Edifício Le Visage Divinité, Centro de BC",Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b50bcd910aad544d8fe466_Untitled%20design%20(51).png,5200000.0,4,5,170
44,Apartamento diferenciado no Bairro Pioneiros em Balneário Camboriú,Pioneiros, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b4f0ee7a009f6bf6520a70_Untitled%20design%20(39).png,4280000.0,4,5,152
